Rousettus amplexicaudatus	Rousettus amplexicaudatus	Rousettus	Mammal
Rousettus leschenaultii	Rousettus leschenaultii	Rousettus	Mammal
Rousettus madagascariensis	Rousettus madagascariensis	Rousettus	Mammal
Rousettus sp.	Rousettus sp.	Rousettus	Mammal
Sarcophilus harrisii	Sarcophilus harrisii	Sarcophilus	Mammal
Sardinella lemuru	Sardinella lemuru	Sardinella	Other
Sciurus vulgaris	Sciurus vulgaris	Sciurus	Mammal
Scoliodon macrorhynchos	Scoliodon macrorhynchos	Scoliodon	Other
Scorpaena jacksoniensis	Scorpaena jacksoniensis	Scorpaena	Other
Scotophilus dinganii	Scotophilus dinganii	Scotophilus	Mammal
Scotophilus kuhlii	Scotophilus kuhlii	Scotophilus	Mammal
Scotophilus sp.	Scotophilus sp.	Scotophilus	Mammal
Semnopithecus entellus	Semnopithecus entellus	Semnopithecus	Mammal
Sorex	Sorex	Sorex	Mammal
Sorex araneus	Sorex araneus	Sorex	Mammal
Spatula clypeata	Spatula clypeata	Spatula	Avian
Spilopelia chinensis	Spilopelia chinensis	Spilopelia	Avian
Spilopelia senegalensis	Spilopelia senegalensis	Spilopelia	Avian
Stenocranius gregalis	Stenocranius gregalis	Stenocranius	Mammal
Streptopelia orientalis	Streptopelia orientalis	Streptopelia	Avian
Strophurus ciliaris	Strophurus ciliaris	Strophurus	Other
Sturnira lilium	Sturnira lilium	Sturnira	Mammal
Suncus murinus	Suncus murinus	Suncus	Mammal
Sundamys infraluteus	Sundamys infraluteus	Sundamys	Mammal
Sus scrofa	Sus scrofa	Sus	Mammal
Sus scrofa domesticus	Sus scrofa domesticus	Sus	Mammal
Sylvirana guentheri	Sylvirana guentheri	Sylvirana	Other
Tadarida	Tadarida	Tadarida	Mammal
Tadarida brasiliensis	Tadarida brasiliensis	Tadarida	Mammal
Taphozous melanopogon	Taphozous melanopogon	Taphozous	Mammal
Taphozous perforatus	Taphozous perforatus	Taphozous	Mammal
Taphozous sp.	Taphozous sp.	Taphozous	Mammal
Tarentola mauritanica	Tarentola mauritanica	Tarentola	Other
Teratoscincus roborowskii	Teratoscincus roborowskii	Teratoscincus	Other
Trachypithecus pileatus	Trachypithecus pileatus	Trachypithecus	Mammal
Triaenops afer	Triaenops afer	Triaenops	Mammal
Triaenops menamena	Triaenops menamena	Triaenops	Mammal
Triaenops persicus	Triaenops persicus	Triaenops	Mammal
Trichosurus vulpecula	Trichosurus vulpecula	Trichosurus	Mammal
Tringa nebularia	Tringa nebularia	Tringa	Avian
