organism	group
Avian astrovirus 2	AvianAstV
Avian avastrovirus 4	AvianAstV
Avian nephritis virus	AvianAstV
Avian nephritis virus 1	AvianAstV
Avian nephritis virus 2	AvianAstV
Avian nephritis virus 3	AvianAstV
Avian nephritis virus AFBI-2010	AvianAstV
Avian nephritis virus Sichuan62/2009	AvianAstV
Avian nephritis virus Sichuan75/2009	AvianAstV
Avian nephritis virus Sichuan80/2009	AvianAstV
Avian nephritis virus Sichuan87/2009	AvianAstV
Avian nephritis virus Sichuan98/2009	AvianAstV
Avian nephritis virus chicken/792/USA/2005	AvianAstV
Avian nephritis virus goose/HRV/2010	AvianAstV
Avian nephritis virus pigeon/CHN-10/2010	AvianAstV
Avian nephritis virus pigeon/Shanghai/2010	AvianAstV
Avian nephritis virus turkey/G145/Poland/2008	AvianAstV
Chicken astrovirus	AvianAstV
Chicken astrovirus 1	AvianAstV
Chicken astrovirus 1 USP336-1/Brazil/2009	AvianAstV
Chicken astrovirus 1 USP336-2/Brazil/2009	AvianAstV
Chicken astrovirus 1 USP337-1/Brazil/2009	AvianAstV
Chicken astrovirus 1 USP337-2/Brazil/2009	AvianAstV
Chicken astrovirus 2	AvianAstV
Chicken astrovirus Indovax/APF/1319	AvianAstV
Chicken astrovirus Indovax/EI/1078	AvianAstV
Chicken astrovirus Indovax/SH/1079	AvianAstV
Chicken astrovirus pigeon/Shanghai/2010	AvianAstV
Crow astrovirus	AvianAstV
Duck astrovirus	AvianAstV
Duck astrovirus 1	AvianAstV
Duck astrovirus 3	AvianAstV
Duck astrovirus C-NGB	AvianAstV
Duck astrovirus CPH	AvianAstV
Duck hepatitis virus 2	AvianAstV
Duck hepatitis virus 3	AvianAstV
Feral pigeon astrovirus	AvianAstV
Goose astrovirus	AvianAstV
Goose astrovirus 1	AvianAstV
Goose astrovirus 2	AvianAstV
Guinea fowl astrovirus	AvianAstV
Pacific black duck astrovirus	AvianAstV
Pigeon astrovirus	AvianAstV
Pigeon avian nephritis virus	AvianAstV
Pink-eared duck avastrovirus	AvianAstV
Turkey astrovirus	AvianAstV
Turkey astrovirus 1	AvianAstV
Turkey astrovirus 2	AvianAstV
Turkey astrovirus 3	AvianAstV
Wood pigeon astrovirus	AvianAstV
shorebird astrovirus	AvianAstV
Astrovirus dogfaeces/Bari	MamaAstV
Astrovirus dogfaeces/Bari/2008	MamaAstV
Astrovirus dogfaeces/China/2008	MamaAstV
Astrovirus dogfaeces/Italy/2005	MamaAstV
Astrovirus rabbit/Nausica/2008/ITA	MamaAstV
California sea lion astrovirus 10	MamaAstV
California sea lion astrovirus 11	MamaAstV
California sea lion astrovirus 2	MamaAstV
California sea lion astrovirus 3	MamaAstV
California sea lion astrovirus 4	MamaAstV
California sea lion astrovirus 5	MamaAstV
California sea lion astrovirus 6	MamaAstV
California sea lion astrovirus 7	MamaAstV
California sea lion astrovirus 8	MamaAstV
California sea lion astrovirus 9	MamaAstV
Cricetulus longicaudatus mamastrovirus	MamaAstV
Dog astrovirus	MamaAstV
Feline astrovirus 2	MamaAstV
Feline astrovirus 3	MamaAstV
Feline astrovirus 4	MamaAstV
Feline astrovirus D1	MamaAstV
Feline astrovirus Viseu	MamaAstV
Feline avastrovirus	MamaAstV
Feline mamastrovirus	MamaAstV
Fox astrovirus	MamaAstV
Fox astrovirus F4	MamaAstV
Goat astrovirus	MamaAstV
Grey squirrel astrovirus	MamaAstV
Guangxi mamastrovirus 1	MamaAstV
Guangxi mamastrovirus 2	MamaAstV
Hainan mamastrovirus	MamaAstV
Henan mamastrovirus 1	MamaAstV
Henan mamastrovirus 2	MamaAstV
Henan mamastrovirus 3	MamaAstV
Henan mamastrovirus 4	MamaAstV
Henan mamastrovirus 5	MamaAstV
Henan mamastrovirus 6	MamaAstV
Henan mamastrovirus 7	MamaAstV
Henan mamastrovirus 8	MamaAstV
House shrew astrovirus	MamaAstV
Hubei mamastrovirus 1	MamaAstV
Hubei mamastrovirus 2	MamaAstV
Hubei mamastrovirus 3	MamaAstV
Hubei mamastrovirus 4	MamaAstV
Jiangsu mamastrovirus 1	MamaAstV
Jiangsu mamastrovirus 2	MamaAstV
Jingmen shrew astrovirus 1	MamaAstV
Lophuromys chrysopus mamastrovirus	MamaAstV
